source_group,year,skill,zindua_track,category,n_jobs_mentioning,n_jobs_total,n_tech_jobs,n_skill_slots,pct_of_all,pct_of_tech,share_of_mentions,pct_share,usable
GLOBAL,2024,React,Frontend Development,frontend,880,3900,2937,11853,0.22564102564102564,0.299625468164794,0.07424280772800135,0.299625468164794,True
GLOBAL,2024,Python,Software Engineering Core,language,828,3900,2937,11853,0.2123076923076923,0.2819203268641471,0.06985573272589218,0.2819203268641471,True
GLOBAL,2024,TypeScript,Frontend Development,language,743,3900,2937,11853,0.1905128205128205,0.2529792305073204,0.06268455243398295,0.2529792305073204,True
GLOBAL,2024,Machine Learning,Data Science Core,ml-concept,600,3900,2937,11853,0.15384615384615385,0.20429009193054137,0.050620096178182736,0.20429009193054137,True
GLOBAL,2024,AWS,Data Engineering,cloud,528,3900,2937,11853,0.13538461538461538,0.1797752808988764,0.04454568463680081,0.1797752808988764,True
GLOBAL,2024,PostgreSQL,Data Engineering,database,484,3900,2937,11853,0.12410256410256411,0.1647940074906367,0.04083354425040074,0.1647940074906367,True
GLOBAL,2024,LLM,AI Engineering,ai-concept,335,3900,2937,11853,0.0858974358974359,0.11406196799455226,0.028262887032818696,0.11406196799455226,True
GLOBAL,2024,Kubernetes,DevOps Engineering,devops,320,3900,2937,11853,0.08205128205128205,0.10895471569628873,0.026997384628364127,0.10895471569628873,True
GLOBAL,2024,Node.js,Software Engineering Core,backend,309,3900,2937,11853,0.07923076923076923,0.10520939734422881,0.02606934953176411,0.10520939734422881,True
GLOBAL,2024,GitHub,Software Engineering Core,tooling,253,3900,2937,11853,0.06487179487179487,0.08614232209737828,0.021344807221800387,0.08614232209737828,True
GLOBAL,2024,Rust,Software Engineering Core,language,244,3900,2937,11853,0.06256410256410257,0.08307797071842016,0.02058550577912765,0.08307797071842016,True
GLOBAL,2024,JavaScript,Software Engineering Core,language,225,3900,2937,11853,0.057692307692307696,0.07660878447395301,0.018982536066818528,0.07660878447395301,True
GLOBAL,2024,Go,Software Engineering Core,language,216,3900,2937,11853,0.055384615384615386,0.0735444330949949,0.018223234624145785,0.0735444330949949,True
GLOBAL,2024,C++,Software Engineering Core,language,207,3900,2937,11853,0.05307692307692308,0.07048008171603677,0.017463933181473046,0.07048008171603677,True
GLOBAL,2024,Terraform,DevOps Engineering,devops,186,3900,2937,11853,0.047692307692307694,0.06332992849846783,0.015692229815236648,0.06332992849846783,True
GLOBAL,2024,Next.js,Frontend Development,frontend,182,3900,2937,11853,0.04666666666666667,0.06196799455226421,0.015354762507382097,0.06196799455226421,True
GLOBAL,2024,Google Cloud,Data Engineering,cloud,167,3900,2937,11853,0.04282051282051282,0.05686074225400068,0.014089260102927529,0.05686074225400068,True
GLOBAL,2024,Ruby,Software Engineering Core,language,166,3900,2937,11853,0.04256410256410256,0.05652025876744978,0.014004893275963892,0.05652025876744978,True
GLOBAL,2024,Rails,Software Engineering Core,backend,159,3900,2937,11853,0.040769230769230766,0.054136874361593465,0.013414325487218427,0.054136874361593465,True
GLOBAL,2024,Docker,DevOps Engineering,devops,155,3900,2937,11853,0.03974358974358974,0.052774940415389854,0.013076858179363875,0.052774940415389854,True
GLOBAL,2024,Java,Software Engineering Core,language,144,3900,2937,11853,0.036923076923076927,0.049029622063329927,0.012148823082763858,0.049029622063329927,True
GLOBAL,2024,Django,Software Engineering Core,backend,140,3900,2937,11853,0.035897435897435895,0.04766768811712632,0.011811355774909306,0.04766768811712632,True
GLOBAL,2024,Linux,DevOps Engineering,platform,135,3900,2937,11853,0.03461538461538462,0.045965270684371805,0.011389521640091117,0.045965270684371805,True
GLOBAL,2024,SQL,Data Analytics,database,130,3900,2937,11853,0.03333333333333333,0.044262853251617294,0.010967687505272926,0.044262853251617294,True
GLOBAL,2024,iOS,Software Engineering Core,mobile,130,3900,2937,11853,0.03333333333333333,0.044262853251617294,0.010967687505272926,0.044262853251617294,True
GLOBAL,2024,Algorithms,Data Structures & Algorithms,fundamentals,125,3900,2937,11853,0.03205128205128205,0.042560435818862784,0.010545853370454737,0.042560435818862784,True
GLOBAL,2024,C#,Software Engineering Core,language,125,3900,2937,11853,0.03205128205128205,0.042560435818862784,0.010545853370454737,0.042560435818862784,True
GLOBAL,2024,Vue,Frontend Development,frontend,125,3900,2937,11853,0.03205128205128205,0.042560435818862784,0.010545853370454737,0.042560435818862784,True
GLOBAL,2024,System Design,Software Engineering Core,architecture,123,3900,2937,11853,0.031538461538461536,0.04187946884576098,0.010377119716527461,0.04187946884576098,True
GLOBAL,2024,GraphQL,Software Engineering Core,backend,119,3900,2937,11853,0.03051282051282051,0.040517534899557374,0.01003965240867291,0.040517534899557374,True
GLOBAL,2024,Android,Software Engineering Core,mobile,118,3900,2937,11853,0.030256410256410255,0.04017705141300647,0.009955285581709272,0.04017705141300647,True
GLOBAL,2024,React Native,Software Engineering Core,mobile,115,3900,2937,11853,0.029487179487179487,0.03915560095335376,0.009702185100818357,0.03915560095335376,True
GLOBAL,2024,CI/CD,DevOps Engineering,devops,93,3900,2937,11853,0.023846153846153847,0.031664964249233915,0.007846114907618324,0.031664964249233915,True
GLOBAL,2024,Redis,Software Engineering Core,database,89,3900,2937,11853,0.022820512820512822,0.030303030303030304,0.007508647599763773,0.030303030303030304,True
GLOBAL,2024,Computer Vision,Data Science Core,ml-concept,87,3900,2937,11853,0.022307692307692306,0.0296220633299285,0.007339913945836497,0.0296220633299285,True
GLOBAL,2024,Git,Software Engineering Core,tooling,81,3900,2937,11853,0.02076923076923077,0.027579162410623085,0.00683371298405467,0.027579162410623085,True
GLOBAL,2024,Azure,DevOps Engineering,cloud,79,3900,2937,11853,0.020256410256410257,0.02689819543752128,0.006664979330127394,0.02689819543752128,True
GLOBAL,2024,ETL,Data Engineering,data-engineering,73,3900,2937,11853,0.01871794871794872,0.024855294518215866,0.006158778368345567,0.024855294518215866,True
GLOBAL,2024,MySQL,Software Engineering Core,database,72,3900,2937,11853,0.018461538461538463,0.024514811031664963,0.006074411541381929,0.024514811031664963,True
GLOBAL,2024,Kotlin,Software Engineering Core,language,69,3900,2937,11853,0.01769230769230769,0.02349336057201226,0.005821311060491015,0.02349336057201226,True
GLOBAL,2024,OpenAI API,AI Engineering,ai-platform,66,3900,2937,11853,0.016923076923076923,0.02247191011235955,0.005568210579600101,0.02247191011235955,True
GLOBAL,2024,HTML,Frontend Development,web,65,3900,2937,11853,0.016666666666666666,0.022131426625808647,0.005483843752636463,0.022131426625808647,True
GLOBAL,2024,Product Management,Product Management,practice,64,3900,2937,11853,0.01641025641025641,0.021790943139257744,0.005399476925672825,0.021790943139257744,True
GLOBAL,2024,Kafka,Data Engineering,data-engineering,63,3900,2937,11853,0.016153846153846154,0.021450459652706845,0.005315110098709187,0.021450459652706845,True
GLOBAL,2024,Tailwind CSS,Frontend Development,frontend,63,3900,2937,11853,0.016153846153846154,0.021450459652706845,0.005315110098709187,0.021450459652706845,True
GLOBAL,2024,Snowflake,Data Engineering,data-engineering,62,3900,2937,11853,0.015897435897435898,0.021109976166155942,0.00523074327174555,0.021109976166155942,True
GLOBAL,2024,PyTorch,Data Science Core,ml-library,60,3900,2937,11853,0.015384615384615385,0.020429009193054137,0.005062009617818274,0.020429009193054137,True
GLOBAL,2024,MongoDB,Software Engineering Core,database,56,3900,2937,11853,0.014358974358974359,0.01906707524685053,0.004724542309963722,0.01906707524685053,True
GLOBAL,2024,C,Software Engineering Core,language,55,3900,2937,11853,0.014102564102564103,0.018726591760299626,0.004640175483000084,0.018726591760299626,True
GLOBAL,2024,AI Agents,AI Engineering,ai-concept,54,3900,2937,11853,0.013846153846153847,0.018386108273748723,0.004555808656036446,0.018386108273748723,True
GLOBAL,2024,Data Warehousing,Data Engineering,data-engineering,50,3900,2937,11853,0.01282051282051282,0.017024174327545116,0.004218341348181895,0.017024174327545116,True
GLOBAL,2024,Swift,Software Engineering Core,language,50,3900,2937,11853,0.01282051282051282,0.017024174327545116,0.004218341348181895,0.017024174327545116,True
GLOBAL,2024,Deep Learning,Data Science Core,ml-concept,49,3900,2937,11853,0.012564102564102564,0.016683690840994213,0.004133974521218257,0.016683690840994213,True
GLOBAL,2024,FastAPI,Software Engineering Core,backend,49,3900,2937,11853,0.012564102564102564,0.016683690840994213,0.004133974521218257,0.016683690840994213,True
GLOBAL,2024,Fine-tuning,AI Engineering,ai-concept,49,3900,2937,11853,0.012564102564102564,0.016683690840994213,0.004133974521218257,0.016683690840994213,True
GLOBAL,2024,Elasticsearch,Data Engineering,database,47,3900,2937,11853,0.012051282051282051,0.016002723867892407,0.003965240867290981,0.016002723867892407,True
GLOBAL,2024,Figma,Frontend Development,design,46,3900,2937,11853,0.011794871794871795,0.015662240381341504,0.0038808740403273433,0.015662240381341504,True
GLOBAL,2024,PHP,Software Engineering Core,language,46,3900,2937,11853,0.011794871794871795,0.015662240381341504,0.0038808740403273433,0.015662240381341504,True
GLOBAL,2024,CSS,Frontend Development,web,44,3900,2937,11853,0.011282051282051283,0.0149812734082397,0.0037121403864000674,0.0149812734082397,True
GLOBAL,2024,RAG,AI Engineering,ai-concept,44,3900,2937,11853,0.011282051282051283,0.0149812734082397,0.0037121403864000674,0.0149812734082397,True
GLOBAL,2024,MLOps,AI Engineering,ai-concept,43,3900,2937,11853,0.011025641025641025,0.014640789921688798,0.0036277735594364294,0.014640789921688798,True
GLOBAL,2024,Agile,Product Management,practice,42,3900,2937,11853,0.010769230769230769,0.014300306435137897,0.003543406732472792,0.014300306435137897,True
GLOBAL,2024,Ansible,DevOps Engineering,devops,42,3900,2937,11853,0.010769230769230769,0.014300306435137897,0.003543406732472792,0.014300306435137897,True
GLOBAL,2024,Angular,Frontend Development,frontend,41,3900,2937,11853,0.010512820512820513,0.013959822948586994,0.003459039905509154,0.013959822948586994,True
GLOBAL,2024,Apache Spark,Data Engineering,data-engineering,40,3900,2937,11853,0.010256410256410256,0.013619339462036091,0.003374673078545516,0.013619339462036091,True
GLOBAL,2024,Microservices,Software Engineering Core,architecture,40,3900,2937,11853,0.010256410256410256,0.013619339462036091,0.003374673078545516,0.013619339462036091,True
GLOBAL,2024,.NET,Software Engineering Core,backend,39,3900,2937,11853,0.01,0.013278855975485188,0.003290306251581878,0.013278855975485188,True
GLOBAL,2024,Statistics,Data Analytics,analysis,39,3900,2937,11853,0.01,0.013278855975485188,0.003290306251581878,0.013278855975485188,True
GLOBAL,2024,Flutter,Software Engineering Core,mobile,37,3900,2937,11853,0.009487179487179488,0.012597889002383384,0.003121572597654602,0.012597889002383384,True
GLOBAL,2024,gRPC,Software Engineering Core,backend,37,3900,2937,11853,0.009487179487179488,0.012597889002383384,0.003121572597654602,0.012597889002383384,True
GLOBAL,2024,NLP,Data Science Core,ml-concept,35,3900,2937,11853,0.008974358974358974,0.01191692202928158,0.0029528389437273265,0.01191692202928158,True
GLOBAL,2024,Testing,Software Engineering Core,practice,35,3900,2937,11853,0.008974358974358974,0.01191692202928158,0.0029528389437273265,0.01191692202928158,True
GLOBAL,2024,Cryptography,Cybersecurity Core,security,33,3900,2937,11853,0.008461538461538461,0.011235955056179775,0.0027841052898000505,0.011235955056179775,True
GLOBAL,2024,Data Visualization,Data Storytelling,visualization,32,3900,2937,11853,0.008205128205128205,0.010895471569628872,0.0026997384628364126,0.010895471569628872,True
GLOBAL,2024,GitLab,DevOps Engineering,tooling,32,3900,2937,11853,0.008205128205128205,0.010895471569628872,0.0026997384628364126,0.010895471569628872,True
GLOBAL,2024,Scala,Data Engineering,language,31,3900,2937,11853,0.007948717948717949,0.010554988083077971,0.002615371635872775,0.010554988083077971,True
GLOBAL,2024,GitHub Actions,DevOps Engineering,devops,30,3900,2937,11853,0.007692307692307693,0.010214504596527068,0.002531004808909137,0.010214504596527068,True
GLOBAL,2024,Claude,AI Engineering,ai-platform,29,3900,2937,11853,0.007435897435897436,0.009874021109976166,0.002446637981945499,0.009874021109976166,True
GLOBAL,2024,Supabase,Software Engineering Core,backend,29,3900,2937,11853,0.007435897435897436,0.009874021109976166,0.002446637981945499,0.009874021109976166,True
GLOBAL,2024,REST API,Software Engineering Core,backend,27,3900,2937,11853,0.006923076923076923,0.009193054136874362,0.002277904328018223,0.009193054136874362,True
GLOBAL,2024,Jenkins,DevOps Engineering,devops,26,3900,2937,11853,0.006666666666666667,0.008852570650323459,0.002193537501054585,0.008852570650323459,True
GLOBAL,2024,Selenium,Software Engineering Core,testing,26,3900,2937,11853,0.006666666666666667,0.008852570650323459,0.002193537501054585,0.008852570650323459,True
GLOBAL,2024,TensorFlow,Data Science Core,ml-library,25,3900,2937,11853,0.00641025641025641,0.008512087163772558,0.0021091706740909476,0.008512087163772558,True
GLOBAL,2024,Databricks,Data Engineering,data-engineering,24,3900,2937,11853,0.006153846153846154,0.008171603677221655,0.0020248038471273096,0.008171603677221655,True
GLOBAL,2024,Svelte,Frontend Development,frontend,24,3900,2937,11853,0.006153846153846154,0.008171603677221655,0.0020248038471273096,0.008171603677221655,True
GLOBAL,2024,API Integration,Software Engineering Core,backend,23,3900,2937,11853,0.005897435897435898,0.007831120190670752,0.0019404370201636717,0.007831120190670752,True
GLOBAL,2024,Apache Airflow,Data Engineering,data-engineering,23,3900,2937,11853,0.005897435897435898,0.007831120190670752,0.0019404370201636717,0.007831120190670752,True
GLOBAL,2024,Flask,Software Engineering Core,backend,23,3900,2937,11853,0.005897435897435898,0.007831120190670752,0.0019404370201636717,0.007831120190670752,True
GLOBAL,2024,Grafana,DevOps Engineering,devops,23,3900,2937,11853,0.005897435897435898,0.007831120190670752,0.0019404370201636717,0.007831120190670752,True
GLOBAL,2024,Jira,Product Management,tooling,23,3900,2937,11853,0.005897435897435898,0.007831120190670752,0.0019404370201636717,0.007831120190670752,True
GLOBAL,2024,dbt,Data Engineering,data-engineering,23,3900,2937,11853,0.005897435897435898,0.007831120190670752,0.0019404370201636717,0.007831120190670752,True
GLOBAL,2024,Bash,DevOps Engineering,language,22,3900,2937,11853,0.0056410256410256415,0.00749063670411985,0.0018560701932000337,0.00749063670411985,True
GLOBAL,2024,SQL Server,Data Analytics,database,22,3900,2937,11853,0.0056410256410256415,0.00749063670411985,0.0018560701932000337,0.00749063670411985,True
GLOBAL,2024,A/B Testing,Data Analytics,analysis,21,3900,2937,11853,0.005384615384615384,0.007150153217568948,0.001771703366236396,0.007150153217568948,True
GLOBAL,2024,Hugging Face,AI Engineering,ai-platform,21,3900,2937,11853,0.005384615384615384,0.007150153217568948,0.001771703366236396,0.007150153217568948,True
GLOBAL,2024,Spring Boot,Software Engineering Core,backend,21,3900,2937,11853,0.005384615384615384,0.007150153217568948,0.001771703366236396,0.007150153217568948,True
GLOBAL,2024,Firebase,Software Engineering Core,backend,19,3900,2937,11853,0.004871794871794872,0.006469186244467144,0.00160296971230912,0.006469186244467144,True
GLOBAL,2024,Penetration Testing,Cybersecurity Core,security,19,3900,2937,11853,0.004871794871794872,0.006469186244467144,0.00160296971230912,0.006469186244467144,True
GLOBAL,2024,Vector Database,AI Engineering,ai-concept,18,3900,2937,11853,0.004615384615384616,0.006128702757916241,0.0015186028853454822,0.006128702757916241,True
GLOBAL,2024,WordPress,Frontend Development,cms,18,3900,2937,11853,0.004615384615384616,0.006128702757916241,0.0015186028853454822,0.006128702757916241,True
GLOBAL,2024,BigQuery,Data Engineering,data-engineering,17,3900,2937,11853,0.004358974358974359,0.005788219271365339,0.0014342360583818443,0.005788219271365339,True
GLOBAL,2024,Prometheus,DevOps Engineering,devops,17,3900,2937,11853,0.004358974358974359,0.005788219271365339,0.0014342360583818443,0.005788219271365339,True
GLOBAL,2024,Network Security,Cybersecurity Core,security,16,3900,2937,11853,0.0041025641025641026,0.005447735784814436,0.0013498692314182063,0.005447735784814436,True
GLOBAL,2024,Accessibility,Frontend Development,web,14,3900,2937,11853,0.0035897435897435897,0.004766768811712632,0.0011811355774909306,0.004766768811712632,True
GLOBAL,2024,Excel,Data Analytics,tooling,13,3900,2937,11853,0.0033333333333333335,0.004426285325161729,0.0010967687505272926,0.004426285325161729,True
GLOBAL,2024,SIEM,Cybersecurity Core,security,12,3900,2937,11853,0.003076923076923077,0.0040858018386108275,0.0010124019235636548,0.0040858018386108275,True
GLOBAL,2024,scikit-learn,Data Science Core,ml-library,12,3900,2937,11853,0.003076923076923077,0.0040858018386108275,0.0010124019235636548,0.0040858018386108275,True
GLOBAL,2024,Plotly,Data Storytelling,visualization,11,3900,2937,11853,0.0028205128205128207,0.003745318352059925,0.0009280350966000168,0.003745318352059925,True
GLOBAL,2024,Zapier,AI Workflow Automation,automation,11,3900,2937,11853,0.0028205128205128207,0.003745318352059925,0.0009280350966000168,0.003745318352059925,True
GLOBAL,2024,jQuery,Frontend Development,frontend,11,3900,2937,11853,0.0028205128205128207,0.003745318352059925,0.0009280350966000168,0.003745318352059925,True
GLOBAL,2024,Prompt Engineering,AI Engineering,ai-concept,10,3900,2937,11853,0.002564102564102564,0.0034048348655090228,0.000843668269636379,0.0034048348655090228,True
GLOBAL,2024,Pandas,Data Science Core,data-library,9,3900,2937,11853,0.002307692307692308,0.0030643513789581204,0.0007593014426727411,0.0030643513789581204,True
GLOBAL,2024,Tableau,Data Analytics,bi-tool,9,3900,2937,11853,0.002307692307692308,0.0030643513789581204,0.0007593014426727411,0.0030643513789581204,True
GLOBAL,2024,Data Structures,Data Structures & Algorithms,fundamentals,8,3900,2937,11853,0.0020512820512820513,0.002723867892407218,0.0006749346157091031,0.002723867892407218,True
GLOBAL,2024,LangChain,AI Engineering,ai-framework,8,3900,2937,11853,0.0020512820512820513,0.002723867892407218,0.0006749346157091031,0.002723867892407218,True
GLOBAL,2024,Oracle,Data Analytics,database,8,3900,2937,11853,0.0020512820512820513,0.002723867892407218,0.0006749346157091031,0.002723867892407218,True
GLOBAL,2024,Redshift,Data Engineering,data-engineering,8,3900,2937,11853,0.0020512820512820513,0.002723867892407218,0.0006749346157091031,0.002723867892407218,True
GLOBAL,2024,Laravel,Software Engineering Core,backend,7,3900,2937,11853,0.0017948717948717949,0.002383384405856316,0.0005905677887454653,0.002383384405856316,True
GLOBAL,2024,NumPy,Data Science Core,data-library,7,3900,2937,11853,0.0017948717948717949,0.002383384405856316,0.0005905677887454653,0.002383384405856316,True
GLOBAL,2024,Bootstrap,Frontend Development,frontend,4,3900,2937,11853,0.0010256410256410256,0.001361933946203609,0.00033746730785455157,0.001361933946203609,True
GLOBAL,2024,Hadoop,Data Engineering,data-engineering,4,3900,2937,11853,0.0010256410256410256,0.001361933946203609,0.00033746730785455157,0.001361933946203609,True
GLOBAL,2024,Looker,Data Analytics,bi-tool,4,3900,2937,11853,0.0010256410256410256,0.001361933946203609,0.00033746730785455157,0.001361933946203609,True
GLOBAL,2024,Nginx,DevOps Engineering,devops,4,3900,2937,11853,0.0010256410256410256,0.001361933946203609,0.00033746730785455157,0.001361933946203609,True
GLOBAL,2024,Power BI,Data Analytics,bi-tool,4,3900,2937,11853,0.0010256410256410256,0.001361933946203609,0.00033746730785455157,0.001361933946203609,True
GLOBAL,2024,Express,Software Engineering Core,backend,3,3900,2937,11853,0.0007692307692307692,0.0010214504596527069,0.0002531004808909137,0.0010214504596527069,True
GLOBAL,2024,Incident Response,Cybersecurity Core,security,3,3900,2937,11853,0.0007692307692307692,0.0010214504596527069,0.0002531004808909137,0.0010214504596527069,True
GLOBAL,2024,Matplotlib,Data Science Core,visualization,3,3900,2937,11853,0.0007692307692307692,0.0010214504596527069,0.0002531004808909137,0.0010214504596527069,True
GLOBAL,2024,Responsive Design,Frontend Development,web,3,3900,2937,11853,0.0007692307692307692,0.0010214504596527069,0.0002531004808909137,0.0010214504596527069,True
GLOBAL,2024,USSD,Software Engineering Core,fintech-local,3,3900,2937,11853,0.0007692307692307692,0.0010214504596527069,0.0002531004808909137,0.0010214504596527069,True
GLOBAL,2024,ISO 27001,Cybersecurity Core,security,2,3900,2937,11853,0.0005128205128205128,0.0006809669731018045,0.00016873365392727579,0.0006809669731018045,True
GLOBAL,2024,Keras,Data Science Core,ml-library,2,3900,2937,11853,0.0005128205128205128,0.0006809669731018045,0.00016873365392727579,0.0006809669731018045,True
GLOBAL,2024,LangGraph,AI Engineering,ai-framework,2,3900,2937,11853,0.0005128205128205128,0.0006809669731018045,0.00016873365392727579,0.0006809669731018045,True
GLOBAL,2024,Payment Integration,Software Engineering Core,fintech,2,3900,2937,11853,0.0005128205128205128,0.0006809669731018045,0.00016873365392727579,0.0006809669731018045,True
